age_old_yr_BP,age_young_yr_BP,median_mm_yr,p16_mm_yr,p84_mm_yr,p2p5_mm_yr,p97p5_mm_yr
100000,80000,0.13562737887160697,0.09371135305151929,0.20047506577262728,0.07703588476565904,0.3270502506696475
80000,70000,0.3596584326462002,0.2546290914623473,1.226376751788765,0.2021028670950523,1.8589046126946285
70000,60000,0.3312413511440837,0.3118498916181469,0.3522509599240718,0.29241930730560894,0.37928451915902284
60000,50000,0.27877881020803014,0.25281691758367525,0.31267092481078107,0.23024495458586294,0.3618096535501299
50000,40000,0.5039846502662516,0.40343451671138775,0.6816954377771518,0.3349053486980754,1.0439722375413452
40000,30000,0.4229470455671609,0.3876064177255592,0.46485362005282416,0.3602511115044084,0.5134521459297317
30000,25000,0.562364630756433,0.48613314084832043,0.6691949291280475,0.4240650797819739,0.8143347238755668
25000,20000,1.21539369631531,1.0868076440926249,1.3963722907533618,0.9873877728200268,1.6666471073699238
20000,15000,0.325939730884236,0.28738172306068827,0.3707446609255146,0.2536945338663167,0.4252434470365098
15000,10000,0.7630988318986025,0.6585206468645662,0.8948832976767411,0.5836120006849378,1.0800779537934637
10000,5000,0.2680746297100872,0.20942520851265323,0.34961717829023636,0.16651638170332533,0.48150757034303054
5000,0,0.4782065954578561,0.4318637155060374,0.5391408901035908,0.39492409688050556,0.6233980009905831
