age_yr_BP,median_mm_yr,p16_mm_yr,p84_mm_yr,p2p5_mm_yr,p97p5_mm_yr
73859.0,0.2178936173394202,0.20160084280990173,0.23710932650973973,0.1883729336867728,0.25882698134912446
66274.0,0.31422994119578657,0.2727004528239012,0.37101624030636415,0.23975280472428162,0.45177300988083297
59387.00000000001,0.33472543750815953,0.31261275638662445,0.35958975886903793,0.2937353686007246,0.38672746648317075
59066.0,0.1511108162904361,0.001,0.37478845778859304,0.001,0.6061400153741355
55731.00000000001,0.3618103556408687,0.3053426166638443,0.43326006573495196,0.2580026977270524,0.5245801136787183
53558.0,0.2497173038784473,0.20859890419012106,0.2928459363693463,0.1674277805231842,0.33507752155071036
43508.0,0.37995070047989443,0.344235375020203,0.42463273592414036,0.3142811570890646,0.4784009942632689
32448.0,0.4286709135765703,0.3956471287661664,0.46579960183322,0.37020133830703106,0.5107690973519974
31290.000000000004,0.4794082727602835,0.3890025069146485,0.5812538985843887,0.3102528430320873,0.6989508293121238
27281.0,0.3317005398758765,0.2645317535640693,0.4219960640607858,0.2118960117001719,0.5522540497220643
23273.0,0.8644656120598233,0.7063361776274505,1.1291400443734572,0.5960552115872082,1.577945469732971
21944.0,0.7590897508159928,0.6425639991695535,0.885662420096004,0.5398194715812267,1.0346117987890928
21509.0,1.1190294143764339,0.790805811904996,1.469025277851114,0.5094240211604698,1.8489186465525163
21138.0,0.6437844889615448,0.20506518330335496,1.1533661302148717,0.001,1.759755125713116
19759.95622175622,1.0934025874820488,0.9844587965702344,1.2208003520121244,0.8869278519883487,1.3624512523358112
17542.0,0.7620932031122891,0.595071696027124,1.0130512574525716,0.47335188370504844,1.3935073863254013
16710.0,0.001,0.001,0.18153221447927972,0.001,0.4501921680482301
14555.0,0.4041891119672414,0.3165042809726357,0.5064961384020518,0.24940375271156554,0.6349879137286123
14262.0,0.001,0.001,0.34656824294554917,0.001,1.4216368855855652
12182.0,0.2719582529595973,0.19454957309665538,0.35481326187511125,0.11856390872121984,0.4654847703297667
10065.0,0.871357323683152,0.76541132632217,1.0056759666103487,0.6790153963147008,1.1829049743568447
6975.000000000001,0.3458636187921406,0.24233556158340983,0.4945410416119876,0.16247901970119286,0.7397939071883937
4056.0,0.26113613013942216,0.192622362588204,0.34265543471014925,0.13415913953527112,0.43986444050795104
67.0,0.4747133513031033,0.4330606326813769,0.5217147792677623,0.3968131887528569,0.5778692720933744
